filename,MAE,SSIM,Grad_MAE,Laplacian_Diff,Pixel_Sum,result
2_810.jpg,0.02626215,0.9239504933357239,0.02571452533325088,8.215537334577276e-05,49360,1
2_475.jpg,0.024671245,0.9213317036628723,0.027494016997936556,0.00011858525508308324,53998,1
2_353.jpg,0.02446441,0.925092875957489,0.02521468841149448,7.44344441494087e-05,45797,1
2_504.jpg,0.025960553,0.9232020378112793,0.02589860691482699,9.902058765880805e-05,42131,1
2_153.jpg,0.030307489,0.9144711494445801,0.026101595389400552,8.919121042554307e-05,63444,1
2_247.jpg,0.026976792,0.9147235155105591,0.025440360353682898,7.424310999691068e-05,60373,1
2_461.jpg,0.022956628,0.9246919751167297,0.025811326584305447,8.027913394110234e-05,43758,1
2_313.jpg,0.026868641,0.9278393983840942,0.02381633961080778,9.270116724049495e-05,43030,1
2_121.jpg,0.02945475,0.9132336378097534,0.02392247054099129,9.427190206783974e-07,54738,1
2_252.jpg,0.026034497,0.9188912510871887,0.025800788050421537,8.273486786829823e-05,50251,1
2_59.jpg,0.018284505,0.9377527236938477,0.01493613521397531,1.902458623368034e-05,48367,1
2_292.jpg,0.02484774,0.9283398389816284,0.02368995796221174,9.456658401090054e-05,44153,1
2_108.jpg,0.03031661,0.91634202003479,0.022274399828518084,4.9072948923655345e-05,62406,1
2_258.jpg,0.027370369,0.9207897186279297,0.025541256831631474,9.180173579719078e-05,48771,1
2_587.jpg,0.025594769,0.92491614818573,0.025596250816404646,8.670261800131681e-05,44231,1
2_730.jpg,0.023586549,0.9222286343574524,0.025950719569782305,8.859444760256749e-05,47868,1
2_400.jpg,0.025056854,0.923385500907898,0.026055090262189048,9.70407252497971e-05,44568,1
2_254.jpg,0.026839647,0.9209707975387573,0.02515363591489769,7.356776736292411e-05,49716,1
2_895.jpg,0.021895237,0.9306560158729553,0.02035142017272726,3.140038878594561e-05,58091,1
2_703.jpg,0.025062522,0.9230358004570007,0.02536958877958772,8.463086718723234e-05,48806,1
2_168.jpg,0.028313145,0.9177443385124207,0.026123829513026716,7.247562124530554e-05,53039,1
2_172.jpg,0.028843323,0.9172934293746948,0.02442726275098331,9.32427677883456e-05,52703,1
2_529.jpg,0.023886492,0.923130452632904,0.025625574695434607,7.951945229007262e-05,44211,1
2_921.jpg,0.012880365,0.9488328099250793,0.016412318519131615,0.0004309585553052636,37277,0
